069500.KS,232080.KS,143850.KS,195930.KS,238720.KS,192090.KS,148070.KS,136340.KS,182490.KS,132030.KS,130680.KS,114800.KS,138230.KS,139660.KS
5.3262925,6.449079280997829,3.4900140225093295,4.4032381774812706,4.563592089792723,9.278832929833605,21.496546106141714,9.194606275036774,7.039573613926763,4.774127831196577,4.7042266948713145,20.7735259661253,3.832637012086796,0.0
5.1651263,6.269382505849061,3.3959611735235713,4.368843259073661,4.530768923676748,9.123139658518447,21.627451099898128,9.209709078118246,7.00118713712848,4.716642002392495,4.801953445944369,21.09242429108937,3.862537424787426,0.0
4.994061,6.09720434189038,3.297459750376899,4.339632415080411,4.496642619461671,8.945156662641853,21.740864674412222,9.225757051163509,6.960168608175539,4.65159295235506,4.914776532747032,21.43306914044749,3.89767525124793,0.0
4.7523637,5.863043021762022,3.152751942927548,4.294517219131314,4.445281070659258,8.720212501238747,21.919058083049688,9.248320113109793,6.9050279706163415,4.570070523432325,5.041009260566087,21.89171777108624,3.9489905224206465,0.0
4.540378,5.659617323632923,3.0284631218381812,4.2429064174071325,4.40430229770537,8.517968838379153,22.067876640917454,9.268128929362208,6.865108771636611,4.486450746400753,5.14947944426058,22.322099306578348,3.9875981618812943,0.0
4.369023,5.452292327889753,2.9365735631072787,4.1836685999047445,4.371180832602842,8.374577321629586,22.23712264579813,9.286245204478051,6.845864362902386,4.421719158320184,5.2151850829573565,22.666275382060363,4.009295518349326,0.0
4.276525,5.342400236650004,2.887112365829029,4.153366894011778,4.353850010419754,8.29923092603742,22.321752994582404,9.292838845949051,6.836743231757472,4.382670110019965,5.256996940878831,22.8526227894736,4.020414654390708,0.0
4.184833,5.2257513622809295,2.8429131654668893,4.125705480296553,4.339109063663053,8.211799382229538,22.396384256788505,9.300639209551614,6.82557907890973,4.331746659344917,5.323136674882447,23.047963770654427,4.02927189593139,0.0
4.151041,5.195240046979413,2.8295767849456586,4.120381571828548,4.336310877638418,8.174784756251949,22.400156843429087,9.302545107978988,6.82254539743439,4.304739330992531,5.368918817345826,23.11344468716567,4.031355778009525,0.0
4.1167455,5.14518694860735,2.811977178030963,4.112153970934431,4.332781324569977,8.129430483988841,22.41102765003598,9.308358896815319,6.821889840533624,4.266115151837286,5.432391408333879,23.198023207813236,4.030663938499113,0.0
4.119417,5.154302561279036,2.812182930110319,4.116384936664174,4.334143744607426,8.119685238062132,22.380588256852185,9.301358360734008,6.821557871674995,4.245334307612,5.47632607418944,23.21097020773748,4.027165510476808,0.0
4.044238,5.072461010202769,2.7805751661648914,4.095337379275212,4.32195658196253,8.058189134673983,22.453015686093778,9.309462096169778,6.81081088426808,4.217298258217504,5.503248029808935,23.343830280738015,4.0338154924245435,0.0
3.9895658,5.014294581744534,2.7520854603113545,4.0803035968355195,4.312849988131812,8.01837327801607,22.503675959836457,9.316620713709888,6.804096923873719,4.195575859607977,5.52812519204293,23.43787129753445,4.036127148355298,0.0
3.9403834,4.960207059089658,2.729379830761321,4.069367116927035,4.306823830642357,7.969716688292006,22.541351506945325,9.323828953301975,6.7982499646321175,4.16734971040051,5.562036779767202,23.531082749137333,4.0406058101031554,0.0
3.9186816,4.928235205982738,2.71713892130683,4.066698669352359,4.306574246986936,7.933448152124561,22.533877558629612,9.326552580733882,6.798407437635393,4.129540859273308,5.623482067575575,23.59627251173095,4.039771788667859,0.0
3.8412008,4.840861415579158,2.684726033312632,4.046781372464974,4.296121851668504,7.870721869872352,22.622917667201335,9.344115126800533,6.78769425801113,4.109110668565585,5.629136685447375,23.718579276829104,4.04923377424731,0.0
3.7665222,4.742158036876773,2.649645877632146,4.021161814669871,4.284093575734971,7.804969659303479,22.71636710174592,9.361728807451227,6.776422903818692,4.083214331270896,5.645036581871228,23.860457421524856,4.054743888099941,0.0
3.7140198,4.663470982283992,2.626414999370957,4.005929453122288,4.2766002217693595,7.7570560761353295,22.77350470150279,9.374284890691541,6.7648208535848795,4.05628964097402,5.672645950512388,23.970889834394494,4.058092395657955,0.0
3.663773,4.5841586589053085,2.6060896614954556,3.9958084303178794,4.266524352599451,7.697694195511606,22.816064258278757,9.376125128423915,6.752996601226591,4.014174834025312,5.732832275709372,24.097990138185303,4.059541465321067,0.0
3.60117,4.508692114168315,2.5781819709222766,3.9795273386338885,4.256400644472203,7.6512965535768,22.894047849450804,9.388806824203026,6.739203854633071,3.990245208405823,5.741423592382746,24.20802658766152,4.0641474614895206,0.0
3.5490687,4.441190741757775,2.5573156936660952,3.9693315529089155,4.244211832426288,7.601300072828429,22.960080145454185,9.389640951236355,6.7258432417209395,3.9573358164362684,5.761342380183932,24.325609674674894,4.066797896705928,0.0
3.4949434,4.380006704146348,2.53869296867037,3.954984607997708,4.231170145606427,7.551846310986749,23.034835237000834,9.394250041198877,6.711624195032306,3.935064822077109,5.763636530485846,24.432936119038377,4.070952317759045,0.0
3.4395702,4.322597680524712,2.5190436920321266,3.9401390291309535,4.2176145056991725,7.516433347271549,23.120521635814008,9.400678364038521,6.701619205380219,3.9238756376147363,5.7441006380324025,24.51616068484338,4.077215579618223,0.0
3.3735254,4.250178586396185,2.493023835249701,3.9175735934309492,4.200514974979286,7.46021404573371,23.221061960458915,9.408227346505797,6.67897758449775,3.901022126533845,5.7405492245345755,24.64783336634999,4.0808233553292945,0.0
3.3118584,4.183609853652936,2.471978709589696,3.8975493612372922,4.183442614959436,7.40628127454712,23.31392299553,9.412667358007502,6.661144569807146,3.874150009986695,5.73939304850103,24.77335208770313,4.08250811647802,0.0
